GridID,X_Lon,Y_Lat,PM2.5,SO4,NO3,BC
1,109.45,18.15,18.1,4.03,2.57,1.44
2,109.55,18.15,18.8,4.17,2.66,1.49
3,109.65,18.15,18.8,4.19,2.66,1.5
4,109.45,18.25,20.4,4.51,2.85,1.61
5,109.55,18.25,20.2,4.46,2.81,1.59
6,109.65,18.25,17.9,3.95,2.46,1.41
7,109.75,18.25,17.0,3.78,2.36,1.35
8,108.95,18.35,19.2,4.26,2.73,1.51
9,109.05,18.35,19.2,4.26,2.68,1.51
10,109.15,18.35,18.8,4.16,2.58,1.46
11,109.25,18.35,19.4,4.25,2.65,1.49
12,109.35,18.35,20.6,4.49,2.79,1.57
13,109.45,18.35,21.7,4.7,2.87,1.65
14,109.55,18.35,21.1,4.54,2.77,1.6
15,109.65,18.35,19.4,4.18,2.57,1.48
16,109.75,18.35,18.3,3.96,2.42,1.4
21,108.85,18.45,21.1,4.68,3.03,1.64
22,108.95,18.45,21.7,4.78,3.07,1.68
23,109.05,18.45,18.8,4.11,2.59,1.45
24,109.15,18.45,20.8,4.54,2.8,1.58
25,109.25,18.45,22.1,4.82,2.97,1.68
26,109.35,18.45,16.6,3.65,2.21,1.29
27,109.45,18.45,18.4,3.95,2.38,1.38
28,109.55,18.45,16.4,3.53,2.12,1.24
29,109.65,18.45,21.7,4.63,2.82,1.63
30,109.75,18.45,20.2,4.27,2.61,1.5
31,109.85,18.45,21.0,4.46,2.71,1.57
32,109.95,18.45,20.7,4.46,2.76,1.58
33,110.05,18.45,20.4,4.43,2.82,1.58
34,108.65,18.55,20.9,4.66,2.98,1.63
35,108.75,18.55,21.6,4.77,3.07,1.67
36,108.85,18.55,21.5,4.74,3.04,1.66
37,108.95,18.55,19.7,4.32,2.73,1.51
38,109.05,18.55,21.9,4.77,3.01,1.67
39,109.15,18.55,17.8,3.87,2.38,1.36
40,109.25,18.55,15.8,3.52,2.11,1.23
41,109.35,18.55,19.1,4.16,2.5,1.46
42,109.45,18.55,15.1,3.29,1.96,1.16
43,109.55,18.55,18.8,4.04,2.43,1.42
44,109.65,18.55,25.2,5.4,3.26,1.89
45,109.75,18.55,24.4,5.16,3.14,1.81
46,109.85,18.55,21.1,4.42,2.72,1.56
47,109.95,18.55,21.0,4.49,2.79,1.6
48,110.05,18.55,22.9,4.96,3.13,1.78
49,110.15,18.55,20.8,4.54,2.91,1.62
50,108.75,18.65,18.2,4.02,2.52,1.39
51,108.85,18.65,16.9,3.65,2.3,1.26
52,108.95,18.65,17.4,3.78,2.36,1.32
53,109.05,18.65,22.5,4.88,3.05,1.69
54,109.15,18.65,22.9,5.01,3.05,1.74
55,109.25,18.65,18.8,4.15,2.49,1.45
56,109.35,18.65,14.5,3.26,1.94,1.15
57,109.45,18.65,16.0,3.57,2.13,1.27
58,109.55,18.65,24.1,5.31,3.19,1.87
59,109.65,18.65,26.9,5.87,3.54,2.06
60,109.75,18.65,25.5,5.54,3.35,1.94
61,109.85,18.65,22.4,4.83,2.97,1.7
62,109.95,18.65,21.4,4.61,2.87,1.63
63,110.05,18.65,17.9,3.83,2.4,1.37
64,110.15,18.65,20.3,4.33,2.73,1.54
65,110.25,18.65,21.4,4.64,2.93,1.65
66,110.35,18.65,21.1,4.62,2.94,1.65
67,110.45,18.65,20.8,4.58,2.93,1.63
68,108.65,18.75,21.4,4.74,2.99,1.64
69,108.75,18.75,18.2,3.92,2.44,1.35
70,108.85,18.75,13.1,2.85,1.75,0.98
71,108.95,18.75,14.4,3.16,1.94,1.09
72,109.05,18.75,22.2,4.87,2.96,1.67
73,109.15,18.75,25.5,5.66,3.41,1.94
74,109.25,18.75,25.3,5.63,3.39,1.95
75,109.35,18.75,16.2,3.65,2.18,1.28
76,109.45,18.75,18.6,4.24,2.56,1.49
77,109.55,18.75,19.1,4.37,2.63,1.53
78,109.65,18.75,16.1,3.6,2.16,1.27
79,109.75,18.75,18.9,4.26,2.56,1.5
80,109.85,18.75,15.1,3.45,2.06,1.22
81,109.95,18.75,13.4,2.98,1.82,1.06
82,110.05,18.75,21.4,4.56,2.84,1.61
83,110.15,18.75,21.3,4.55,2.8,1.6
84,110.25,18.75,20.0,4.3,2.69,1.51
85,110.35,18.75,22.0,4.79,3.06,1.69
86,110.45,18.75,22.8,4.92,3.2,1.75
87,110.55,18.75,21.2,4.62,2.98,1.64
88,108.65,18.85,22.9,5.04,3.15,1.73
89,108.75,18.85,20.4,4.4,2.73,1.51
90,108.85,18.85,14.6,3.22,1.95,1.1
91,108.95,18.85,15.9,3.49,2.11,1.19
