gem_mine_id,msha_id,country_area,mine_name,mine_name_akas,mine_name_non_eng,complex_name,gem_wiki_page_eng,gem_wiki_page_non_eng,status,status_detail,project_type,project_phase,owners,owners_gem_entity_id,owners_non_eng,parent_company,company_hqs,capacity_mtpa,production_mtpa,year_of_production,coal_output_annual_mst,mine_type,mining_method,mine_size_km2,mine_depth_m,depth_accuracy,workforce_size,workforce_accuracy,coal_type,coal_grade,percentage_of_met_coal,percentage_of_thermal_coal,accuracy_rating,reported_year_of_percentage_split,total_reserves_proven_and_probable_mt,year_of_total_reserves_recorded,total_resource_inferred_indicated_measured,reserve_to_production_ratio_r_p,opening_year,closing_year,reported_life_of_mine,reported_year_of_mine_life,coalfield,latitude,longitude,location_accuracy,primary_consumer_destination,primary_consumer_destination_name,primary_consumer_destination_gem_wiki,gas-level_rating,gas-level_rating_appraisal_year,reported_coal_mine_methane_emissions_thousand_tonnes_ch4,reported_coal_mine_methane_emissions_thousand_tonnes_co2_equivalent,year_of_reported_coal_mine_methane_emissions,source_id,has_associated_plume_data,has_associated_cmm_mitigation_data,gem_coal_mine_methane_emissions_estimate_mcm_yr,gem_coal_mine_methane_emissions_estimate_m_tonnes_yr,cmm_emissions_co2e_20_years,cmm_emissions_co2e_100_years,parent_gem_entity_id,location_non_eng,reference_type,methane_emissions_factor,methane_gas_content_m_3_tonne,mine_boundary_and_methane_emissions_sources_data_available_,has_mine_boundary_and_methane_emissions_sources_data_
M5013,,China,Shaanxi Shenmu Kunyuan Coal Mine,,神木市锟源矿业有限公司,,,https://www.gem.wiki/神木市锟源矿业有限公司,Operating,,Expansion,,Shenmu City Kunyuan Mining Co Ltd,E100002009751,神木市锟源矿业有限公司,Shenmu City Kunyuan Mining Co Ltd [100.0%],China,3.0,,2025.0,,Underground,Longwall,,,Exact,567.0,Exact,Bituminous,Thermal,,,,,66.41,2018.0,106.0,22.0,2022.0,,41.0,2018.0,Northern Shaanxi Jurassic,39.202974,110.265692,Exact,,,,低瓦斯,2018.0,,,,,N,N,33.84,0.0227,1.87,0.68,E100002009751 [100.0%],陕西省榆林市神木市大柳塔镇束鸡河村,,1.6,10.1,N,
M1807,,China,1890 Coal Mine,,新疆焦煤（集团）有限责任公司一八九〇煤矿,,,https://www.gem.wiki/新疆焦煤（集团）有限责任公司一八九〇煤矿,Operating,,,,Xinjiang Coking Coal Group,,新疆焦煤（集团）有限责任公司,,China,1.2,,2022.0,,Underground,Longwall,,,Exact,481.0,Exact,Bituminous,Met,,,,,79.0,2019.0,124.0,66.0,2007.0,,47.0,2019.0,Aiweiergou,42.99407,87.550653,Exact,Steel Plant,Baosteel Group Xinjiang Bayi Iron & Steel Co Ltd,https://www.gem.wiki/Baosteel_Group_Xinjiang_Bayi_Iron_&_Steel_Co_Ltd,突出矿井,2025.0,,,,,N,N,14.61,0.0098,0.81,0.29,,新疆乌鲁木齐市达坂城区艾维尔沟,,1.6,10.9,N,
M2428,,China,1930 Coal Mine,,新疆焦煤（集团）有限责任公司一九三〇煤矿,,,https://www.gem.wiki/新疆焦煤（集团）有限责任公司一九三〇煤矿,Operating,,,,Xinjiang Coking Coal Group,,,,China,1.5,,2022.0,,Underground,,,,Estimate,507.0,Exact,Bituminous,Met,,,,,86.0,2021.0,151.0,58.0,2008.0,,,,Zhunnan,43.021644,87.45454,Exact,Steel Plant,宝钢集团新疆八一钢铁有限公司,https://www.gem.wiki/Baosteel_Group_Xinjiang_Bayi_Iron_and_Steel_Co_Ltd,突出矿井,2025.0,,,,,N,N,22.26,0.0149,1.23,0.44,,新疆乌鲁木齐市达坂城区艾维尔沟	,,1.6,13.3,N,
M1809,,China,2130 Coal Mine,,新疆焦煤（集团）有限责任公司二一三〇煤矿,,,https://www.gem.wiki/新疆焦煤（集团）有限责任公司二一三〇煤矿,Operating,,,,Xinjiang Coking Coal Group,,,,China,0.7,,2022.0,,Underground,,,,Exact,466.0,Exact,Bituminous,Met,,,,,89.0,2020.0,,127.0,1986.0,,54.0,2020.0,Aiweiergou,43.026389,87.392778,Approximate,Steel Plant,Baosteel Group Xinjiang Bayi Iron & Steel Co Ltd,https://www.gem.wiki/Baosteel_Group_Xinjiang_Bayi_Iron_&_Steel_Co_Ltd,突出矿井,2024.0,,,,,N,N,12.74,0.0085,0.7,0.25,,新疆乌鲁木齐市达坂城区艾维尔沟,,1.6,16.3,Y,
M2399,,China,A'erbasi No. 2 Well Coal Mine,,内蒙古鄂尔多斯煤炭有限责任公司阿尔巴斯煤矿（二井）,,,https://www.gem.wiki/内蒙古鄂尔多斯煤炭有限责任公司阿尔巴斯煤矿（二井）,Operating,,,,Inner Mongolia Ordos Coal Company,,,,China,1.2,,2022.0,,Underground,,,,Exact,444.0,Estimate,Bituminous,Met,,,,,29.0,2018.0,,24.0,2006.0,,14.0,,Zhuozishan,39.392767,107.064987,Exact,,,,低瓦斯,2011.0,,,,,N,N,23.18,0.0155,1.28,0.46,,内蒙古自治区鄂托克旗棋盘井镇工业园区,,1.6,17.3,N,
M2575,,China,Agentala Mine of Shaogen Coal Mine,,内蒙古阿鲁科尔沁旗绍根煤田阿根塔拉矿井,,,https://www.gem.wiki/内蒙古阿鲁科尔沁旗绍根煤田阿根塔拉矿井,Shelved,Construction,New,,Inner Mongolia Zhongying Tianshan Energy Development Company(内蒙古中瀛天山能源开发有限公司),,,,China,1.8,,2022.0,,Underground,,,,Estimate,,,Lignite,Thermal,,,,,,,,,,,,,,43.648574,120.805416,Approximate,,,,,,,,,,N,N,8.64,0.0058,0.48,0.17,,内蒙古自治区阿鲁科尔沁旗绍根镇,,1.6,4.3,N,
M0163,,China,Aimin Wendu Coal Mine,,内蒙古平煤阿鲁科尔沁旗煤业有限责任公司爱民温都煤矿,,,https://www.gem.wiki/内蒙古平煤阿鲁科尔沁旗煤业有限责任公司爱民温都煤矿,Mothballed,,New,,Inner Mongolia Pingmei Ar Khorchin Banner Coal Mine Company,,,,China,1.2,,,,Underground,,,,Exact,764.0,Estimate,Lignite,Thermal,,,,,91.0,,186.0,76.0,,,50.0,,Shaogen,43.7025,120.771111,Exact,,,,低瓦斯,,,,,,N,N,4.96,0.0033,0.27,0.1,,内蒙古自治区赤峰市阿鲁科尔沁旗天山镇,,1.6,3.7,N,
M1338,,China,Algmin Coal Mine,,新疆凯领投资有限公司阿尔格敏露天煤矿,,,https://www.gem.wiki/新疆凯领投资有限公司阿尔格敏露天煤矿,Operating,,New,,Xinjiang Kailing Investment Company,,,,China,1.2,,2022.0,,Surface,Open Pit,,,Estimate,125.0,Exact,Bituminous,Met,,,,,48.0,2014.0,132.0,40.0,2018.0,,33.0,2014.0,,42.247604,82.495625,Exact,,,,,,,,,,N,N,13.19,0.0088,0.73,0.26,,新疆维吾尔自治区阿克苏地区拜城县黑英山乡,,1.5,10.5,N,
M2920,,China,Alxa Left Banner Xinjing Coal Mine,,内蒙古新井煤业有限公司煤矿,,,https://www.gem.wiki/内蒙古新井煤业有限公司煤矿,Mothballed,,Expansion,,Inner Mongolia Xinjing Coal Industry Company,,,,China,0.9,,,,Surface,Open Pit,,,Estimate,,,Bituminous,Thermal,,,,,,,,,2021.0,,,,Helan Mountain Southern,37.965931,105.662655,Exact,,,,,,,,,,N,N,9.89,0.0066,0.55,0.2,,内蒙古自治区阿拉善盟阿左旗嘉尔嘎勒赛汉镇巴兴图嘎查,,1.5,10.5,N,
M1811,,China,Anda Coal Mine,,山西通洲集团安达煤业有限公司,,,https://www.gem.wiki/山西通洲集团安达煤业有限公司,Operating,,,,Shanxi Tongzhou Group Anda Coal Industry Company,,,,China,1.2,,2022.0,,Underground,,,,Exact,870.0,Exact,Bituminous,Met,,,,,47.0,2014.0,,39.0,2011.0,,29.0,2011.0,Qinshui,36.745014,112.233794,Exact,,,,高瓦斯,2024.0,,,,,N,N,18.27,0.0122,1.01,0.36,,山西省长治市沁源县郭道镇棉上村,,1.6,13.6,N,
